time,total distance cost
1,443.0
2,438.0
3,613.0
4,603.0
5,593.0
6,583.0
7,573.0
8,563.0
9,551.0
10,541.0
11,531.0
12,521.0
13,511.0
14,501.0
15,491.0
16,481.0
17,475.0
18,465.0
19,750.0
20,735.0
21,720.0
22,705.0
23,690.0
24,675.0
25,658.0
26,778.0
27,763.0
28,748.0
29,737.0
30,722.0
31,801.0
32,980.0
33,955.0
34,927.0
35,902.0
36,1097.0
37,1074.0
38,1045.0
39,1017.0
40,990.0
41,968.0
42,1161.0
43,1136.0
44,1109.0
45,1082.0
46,1057.0
47,1032.0
48,1007.0
49,978.0
50,1085.0
51,1060.0
52,1035.0
53,1216.0
54,1275.0
55,1253.0
56,1228.0
57,1467.0
58,1442.0
59,1421.0
60,1396.0
61,1368.0
62,1433.0
63,1492.0
64,1709.0
65,1681.0
66,1660.0
67,1635.0
68,1606.0
69,1581.0
70,1558.0
71,1536.0
72,1511.0
73,1485.0
74,1560.0
75,1870.0
76,1843.0
77,1818.0
78,1788.0
79,1766.0
80,1819.0
81,1798.0
82,1773.0
83,1748.0
84,1719.0
85,1694.0
86,1670.0
87,1643.0
88,1853.0
89,1903.0
90,1874.0
91,1849.0
92,2131.0
93,2106.0
94,2084.0
95,2056.0
96,2034.0
97,2003.0
98,1978.0
99,1950.0
100,1925.0
101,1901.0
102,2000.0
103,1975.0
104,1945.0
105,1920.0
106,1895.0
107,1872.0
108,1852.0
109,1832.0
110,1812.0
111,2507.0
112,2596.0
113,2571.0
114,2545.0
115,2545.0
116,2520.0
117,2631.0
118,2606.0
119,2582.0
120,2562.0
121,2645.0
122,2620.0
123,2595.0
124,2571.0
125,2546.0
126,2519.0
127,2494.0
128,2674.0
129,2728.0
130,2703.0
131,2773.0
132,2748.0
133,2776.0
134,2751.0
135,2726.0
136,2702.0
137,2675.0
138,2879.0
139,2853.0
140,2828.0
141,2803.0
142,2778.0
143,2753.0
144,2728.0
145,2700.0
146,2675.0
147,2773.0
148,2748.0
149,2721.0
150,2695.0
151,2670.0
152,2645.0
153,2622.0
154,2596.0
155,2571.0
156,2546.0
157,2568.0
158,2535.0
159,2510.0
160,2553.0
161,2589.0
162,2563.0
163,2538.0
164,2513.0
165,2495.0
166,2484.0
167,2456.0
168,2461.0
169,2684.0
170,2659.0
171,2632.0
172,2607.0
173,2582.0
174,2709.0
175,2684.0
176,2776.0
177,2747.0
178,2722.0
179,2699.0
180,2674.0
181,2649.0
182,2626.0
183,2645.0
184,2619.0
185,2609.0
186,2654.0
187,2742.0
188,2721.0
189,2696.0
190,2937.0
191,2908.0
192,2883.0
193,2855.0
194,2830.0
195,2805.0
196,2782.0
197,2762.0
198,2742.0
199,2820.0
200,2792.0
201,2763.0
202,2737.0
203,2719.0
204,2699.0
205,2678.0
206,2658.0
207,2634.0
208,2614.0
209,2589.0
210,2568.0
211,2546.0
212,2516.0
213,2492.0
214,2469.0
215,2439.0
216,2414.0
217,2389.0
218,2364.0
219,2332.0
220,2310.0
221,2286.0
222,2258.0
223,2245.0
224,2225.0
225,2200.0
226,2180.0
227,2160.0
228,2139.0
229,2119.0
230,2098.0
231,2082.0
232,2063.0
233,2038.0
234,2018.0
235,1998.0
236,1980.0
237,1960.0
238,1940.0
239,1920.0
240,1900.0
241,1879.0
242,1857.0
243,1837.0
244,1816.0
245,1796.0
246,1780.0
247,1760.0
248,1738.0
249,1718.0
250,1696.0
251,1672.0
252,1652.0
253,1635.0
254,1617.0
255,1602.0
256,1587.0
257,1572.0
258,1557.0
259,1535.0
260,1520.0
261,1505.0
262,1495.0
263,1480.0
264,1465.0
265,1450.0
266,1431.0
267,1413.0
268,1398.0
269,1383.0
270,1368.0
271,1353.0
272,1338.0
273,1319.0
274,1304.0
275,1289.0
276,1274.0
277,1262.0
278,1247.0
279,1232.0
280,1217.0
281,1206.0
282,1191.0
283,1179.0
284,1159.0
285,1144.0
286,1129.0
287,1116.0
288,1101.0
289,1086.0
290,1068.0
291,1053.0
292,1038.0
293,1020.0
294,1005.0
295,993.0
296,978.0
297,962.0
298,947.0
299,932.0
300,917.0
301,902.0
302,890.0
303,875.0
304,860.0
305,849.0
306,832.0
307,812.0
308,802.0
309,792.0
310,782.0
311,772.0
312,762.0
313,752.0
314,743.0
315,731.0
316,721.0
317,708.0
318,698.0
319,692.0
320,682.0
321,672.0
322,662.0
323,652.0
324,646.0
325,636.0
326,626.0
327,616.0
328,606.0
329,594.0
330,584.0
331,572.0
332,565.0
333,560.0
334,555.0
335,550.0
336,545.0
337,540.0
338,535.0
339,530.0
340,525.0
341,520.0
342,515.0
343,510.0
344,505.0
345,499.0
346,494.0
347,489.0
348,484.0
349,483
350,478.0
351,473.0
352,468.0
353,463.0
354,458.0
355,453.0
356,443.0
357,438.0
358,433.0
359,429
360,424.0
361,419.0
362,414.0
363,409.0
364,404.0
365,399.0
366,394.0
367,389.0
368,382.0
369,377.0
370,372.0
371,367.0
372,362.0
373,357.0
374,352.0
375,347.0
376,342.0
377,338
378,333.0
379,328.0
380,318.0
381,313.0
382,308.0
383,306
384,297.0
385,292.0
386,287.0
387,282.0
388,277.0
389,274
390,269.0
391,264.0
392,259.0
393,251.0
394,246.0
395,244
396,239.0
397,229.0
398,224.0
399,219.0
400,214.0
